attribute,modifications,avg_change,avg_cost,total_cost,pct_modified
Exter_Qual,75,1.5066666666666666,678.0,50850.0,93.75
Garage_Area,72,193.26388888888889,13528.472222222223,974050.0,90.0
Wood_Deck_SF,70,138.68571428571428,1386.857142857143,97080.0,87.5
Overall_Cond,68,2.573529411764706,0.0,0.0,85.0
Open_Porch_SF,42,27.095238095238095,3007.5714285714284,126318.0,52.5
Fireplaces,38,1.1842105263157894,8220.78947368421,312390.0,47.5
Garage_Qual,33,1.9090909090909092,11110.869565217392,255550.0,41.25
Full_Bath,27,1.1111111111111112,11540.0,311580.0,33.75
Garage_Finish,20,1.8,4560.0,45600.0,25.0
Half_Bath,19,1.0,6150.0,116850.0,23.75
Total_Bsmt_SF,17,134.58823529411765,13458.823529411764,228800.0,21.25
Bsmt_Qual,14,1.0,18534.285714285714,259480.0,17.5
Garage_Cond,10,3.0,0.0,0.0,12.5
Kitchen_Qual,10,1.1,21960.4,219604.0,12.5
First_Flr_SF,9,140.44444444444446,21207.11111111111,190864.0,11.25
Bsmt_Full_Bath,6,1.0,18500.0,111000.0,7.5
