model,house_idx,budget,price_before,price_after,spent,profit,roi,n_changes,top_changes
XGBoost,1138,150000,260320.875,589378.8955649345,149107.0,179951.02056493447,1.206858300179968,31,"First_Flr_SF:262.00, Second_Flr_SF:0.00, Year_Built:0.00, Exter_Qual:0.00, Total_Bsmt_SF:342.00"
Linear,1138,150000,248992.276742013,1033194.8938974505,150000.0,634202.6171554376,4.228017447702917,31,"First_Flr_SF:0.00, Second_Flr_SF:0.00, Year_Built:0.00, Exter_Qual:1.00, Total_Bsmt_SF:0.00"
XGBoost,636,150000,188368.921875,388199.8467805165,81015.0,118815.9249055165,1.466591679386737,31,"First_Flr_SF:0.00, Second_Flr_SF:0.00, Year_Built:0.00, Exter_Qual:1.00, Total_Bsmt_SF:0.00"
Linear,636,150000,182656.04404628658,789176.105598945,149999.99999999919,456520.06155265926,3.0434670770177448,31,"First_Flr_SF:0.00, Second_Flr_SF:0.00, Year_Built:0.00, Exter_Qual:2.00, Total_Bsmt_SF:0.00"
XGBoost,881,150000,304822.78125,686016.6579498666,148593.0,232600.8766998666,1.5653555463572753,31,"First_Flr_SF:234.00, Second_Flr_SF:0.00, Year_Built:0.00, Exter_Qual:1.00, Total_Bsmt_SF:228.00"
Linear,881,150000,318525.7102946793,1200841.4235076963,150000.0,732315.713213017,4.882104754753446,31,"First_Flr_SF:0.00, Second_Flr_SF:0.00, Year_Built:0.00, Exter_Qual:1.00, Total_Bsmt_SF:0.00"
XGBoost,1378,150000,236701.734375,493864.5825471366,106641.0,150521.84817213658,1.411481964461479,31,"First_Flr_SF:166.00, Second_Flr_SF:0.00, Year_Built:0.00, Exter_Qual:1.00, Total_Bsmt_SF:0.00"
Linear,1378,150000,228300.67470607004,1243015.4834200228,150000.00000000058,864714.8087139522,5.764765391426326,31,"First_Flr_SF:110.00, Second_Flr_SF:0.00, Year_Built:0.00, Exter_Qual:2.00, Total_Bsmt_SF:0.00"
XGBoost,418,150000,175641.046875,416403.3784082735,149090.0,91672.33153327351,0.6148791436935643,31,"First_Flr_SF:104.00, Second_Flr_SF:0.00, Year_Built:0.00, Exter_Qual:1.00, Total_Bsmt_SF:107.00"
Linear,418,150000,171159.80982039653,898381.8387406485,149999.99999999994,577222.0289202519,3.8481468594683474,31,"First_Flr_SF:104.00, Second_Flr_SF:0.00, Year_Built:0.00, Exter_Qual:2.00, Total_Bsmt_SF:0.00"
